3x3	1	3:1:1,1-3:1:1,1
5x5	136382	5:2,2:1,1:1,1:1,1-5:2:1:2:5
5x5	136383	4:2,1:5:3:4-5:5:1,3:3,1:1
5x5	136384	1:2:1,2:3:2-3:2:2:2:2
5x5	136421	5:1,1:1,1:5:1,1-5:1,1:1,1:5:1,1
5x5	136422	1,1:5:1,1,1:1,1,1:1,1,1-4:2:4:2:4
5x5	136424	3:2:4:1,3:1,2-3:2:4:1,3:1,2
5x5	136607	2:4:2:3:2,2-1,1:4:3:2,2:1,1
5x5	136608	5:1,1:3:1,1:3-2:1,3:1,1,1:1,3:2
5x5	136744	5:5:3:1,1,1:1-4:3:5:2:2,1
5x5	136778	5:1,1:1:3:4-1:1,1:2,2:1,3:2,2
5x5	136870	1,1:3:1,1:4:1-1:5:1,1:3:1
5x5	136871	1:1,1:1,3:3,1:1,3-3:1,1:3:1,1,1:4
5x5	137058	2:1,2:1,1,1:1,2:2,1-3:2,1:1,2:1,1:2,1
5x5	137059	2:1,2:2:1,2:2-3:1,1,1:1,1:1,1:1,1
5x5	137060	1:3:1,1,1:3:1,1-1:1,2:4:1,2:1
5x5	137061	3:5:2,2:1,1:3-3:3,1:2,1:3,1:3
5x5	137063	1:1:5:3:1,1-1:3:4:3:1
5x5	156911	5:1,1,1:5:1,1:3-3:1,3:3,1:1,3:3
5x5	165027	2,2:3:5:1,1,1:1,1-1,3:3:3:3:1,3
5x5	165268	3:5:1,1,1:1,1:3-2:2,2:3,1:2,2:2
5x5	182191	1:1,3:5:1,1:5-2,1:1,1,1:4:2,1:4
5x5	184423	3:1,1:5:4:1,1-3:2:4:1,3:3
5x5	187438	1,1,1:1,1:3:1,1:1,1,1-1,2:2:1,1,1:2:1,2
5x5	187439	1:3:5:1:1-1:2,1:4:2:1
5x5	188625	5:1,2:3:2,2:1,1-5:1,2:3:2,2:1,1
5x5	195327	2:1,1,1:1,1:1,1,1:2-3:1,1:2,2:1:1,1
5x5	195329	1,1:1:1,1:1,1:3-1:1,1,1:1,1:1,1,1:1
5x5	195332	3:1,1,1:1,1,1:3:1-2:1,1:5:1,1:2
5x5	195337	3:3:1,1:1,1:2,2-1:4:2:5:1,1
5x5	195433	2,2:1,1:1:1,1:2,2-1,1:2,2:1:2,2:1,1
5x5	195434	1,1:1,1:1,1:1,1,1:3-3:1,1:2:1,1:3
5x5	201592	4:1,2:2:1,2:4-1,1:5:1,1,1:2,2:1,1
5x5	202365	1,1:1,1:3:5:1,1,1-2:4:3:4:2
5x5	202369	1,1:1,1:1,1,1:5:5-1,3:1,2:3:1,2:1,3
5x5	202473	1:1,1,1:1,1:1,1,1:1,1,1-1,2:1:2,2:1:1,2
5x5	202475	3:2,2:1,1,1:1,1:1,1-2:2,2:1,1:2,2:2
5x5	202748	1:1,1:1,1,1:3:1-1:1,1:1,3:1,1:1
5x6	100930	1,1:3,1:3,1:4:4:1,1-3:5:5:2:5
6x7	100931	1:3:2,1,1:4,1:4:4:1,1-2:3:1,4:6:2:5
5x9	108431	5:5:5:3:1:3:1:3:5-3,1:4,1,2:9:4,1,2:3,1
5x9	108433	1:2:1:2:1:3:2,2:5:3-2:4:6,2:1,1,4:2
5x9	119737	1:3:1,1,1:1,1:3:1,1:1,1,1:3:1-2,1:1,1,1:9:1,1,1:1,2
5x9	119983	5:1,1:2,2:1,1:5:1:3:1,1,1:5-5,2:1,1,1,1,1:1,5:1,1,1,1,1:5,2
5x9	188549	2:1,1:2:1:3,1:1,1:1,1:1,1:3-4:2,1,1:1,1,1,1:1,1,1:1,4
6x8	102211	2:2:4:1,1,2:3:5:4:2,2-2,1:1,4:6:3,3:1,2,3:1,1
8x6	111237	1,3:1,1:8:8:1:3-4:2:2:2:1,2,1:6:1,2,1:2
8x6	116466	1,1:1,1,1,1:2:2,2,2:2,2:4-1,1:1,2:1,2:2,1:2,1:1,2:1,2:1,1
7x7	129339	1,1:2,1:1,1,1:7:5:1,2:1,1-1,2:1,1:4,1:1,3:2:3:6
6x9	162541	2:4:4:2:2:4:4:6:6-2:2,4:9:9:2,4:2
8x7	111238	6:6:3:6:3:6:6-2,2:2,2:7:7:7:2,1,2:1:1
9x7	165275	5:1,1,1:5,1:5,3:2,1:2,1:6-4:1,5:7:1,2,1:4,1:1:4:1:2
8x8	119736	1,1:5:1,1,1:3,1:1,1:4,1:5,1:1,5-3,1:1,1,2:7:1,1,3:3,3:2:1:4
8x8	202534	1,2,1:1,4,1:1,2,1:6:1,1:4:2,2,2:1,1-2,2:3,1:1,1,1:4,2:4,2:1,1,1:3,1:2,2
8x8	202535	1,1:4:4:1,2,1:1,4,1:4:2,2:1,1-1:1,2:3,3:5:5:3,3:1,2:1
8x8	202536	1,1:6:8:2,2,2:6:1,1:1,4,1:1,1-2,2:5:3,1,1:4,1:4,1:3,1,1:5:2,2
8x8	202537	1,1:1,1:1,4,1:1,2,1:2,2:4:2,2:1,1,1,1-2,1:1,2,1:1,4:2,1:2,1:1,4:1,2,1:2,1
8x8	202538	1,1:2,2:4:6:2,2:1,4,1:2,2:1,1-2:2,2,2:3,2:2,1:2,1:3,2:2,2,2:2
8x8	202539	1,1:4:6:2,2,2:8:2,2:1,1,1,1:1,1-2,2:1,4:2,3:4:4:2,3:1,4:2,2
8x8	202540	2:4:6:2,2,2:1,4,1:2:2,2:1,1-2:2,2:2,1,1:6:6:2,1,1:2,2:2
8x8	202541	1,1,1,1:1,2,1:1,1:4:6:2,2,2:8:2,2-1,2:1,4:1,3,2:1,4:1,4:1,3,2:1,4:1,2
8x8	202542	1,1:2,2:1,1:4:2:1,2,1:8:2,2-1:2,3:3,2:4:4:3,2:2,3:1
8x8	202543	4:6:8:2,2,2:6:4:6:2,2,2-2,1:4,2:3,3:8:8:3,3:4,2:2,1
8x8	202544	3,3:4:4:1,2,1:6:2:2,2:1,1-1:1,2,1:3,1,2:5:5:3,1,2:1,2,1:1
8x8	202545	2,2:6:1,1:1,2,1:1,1:6:1,2,1:1,1-1:7:1,1,1:1,1,2:1,1,2:1,1,1:7:1
8x8	202546	2:4:6:2,2,2:8:4:6:1,1,1,1-2,1:3,1:2,4:7:7:2,4:3,1:2,1
8x8	202547	4:6:8:8:6:1,2,1:4:1,2,1-2:5,1:5,1:8:8:5,1:5,1:2
8x8	202548	1,1:1,1:1,1:6:1,2:8:2,2:1,1,1,1-2,1:1,1,2:1,2,3:3:3:1,2,3:1,1,2:1,1
8x8	202549	1,1:1,1:8:1,2,1:2,2:6:2,2:1,1-2:1,6:1,3:2,1:2,1:1,3:1,6:2
9x9	105856	3,3:1,3,1:2,2:1,1:1,1:1,1:1,1:1,1:5-3:1,1:1,6:1,1:1,1:1,1:1,6:1,1:3
9x9	125107	1:1,1:1:1,1,1,1:1,1,1,1:1,2,2,1:1,1,1:7:7-2:1,3:2,2:1,1,1,2:1,1,3:1,1,1,2:2,2:1,3:2
9x9	165297	5:7:2,2:6:1:6,2:2,2:7:5-1,1:5:3,3:2,1,1,2:2,1,1,2:2,1,1,2:2,2:3,4:2,3
