9x20	426	1:2:3:3:1,1:1,1:1,1:2:3:2,1:2,3:2,2,2:2,2,2:2,1,2:2,1,2:2,1,2:5:1:1:2-5:7:2,2:1,2,1,1:20:3,1,1,1:5,2,2:5:3
25x12	1582	3:5,3,1:3,5,3:3,6,11:24:7,5,3:1,5,3:5,1:3,7,3:25:25:2,2-2:1,2,3:5,4:6,3:5,3:1,2,2:2,2:3,2:2,2:2,2:2,3:9:10:2,7:10:9:2,3:2,2:2,2:2,2:2,2:1,5,3:12:1,5,4:2,2
20x15	1612	5:1,1,3,1,1:1,1,1,1,1,1:3,2,1,1,1,1:1,1,1,1,1,1,1:1,1,2,3,1,1:1,1,1:2,9:1,2,2,1:2,4,1:4,2,1:3,2,2:7:5:20-5,1:1,1:5,1:1:1,3,1:3,1,1:1:5,1:1,1,1:5,1:1:5,1:2,4,1:1,1,2,5:5,4,3:1,1,1,4:5,8:1,1,4,3:2,2,1:5,1
20x15	Dog with butterfly	4,2:2,4,1,1,3:1,1,2,2,2,1,1:2,1,1,4:1,2,1,1:5,4,3:3,1,12,1:2,4,1,1:1,2:3,1,1,1:1,6,2:1,6,3,1:2,1,1,2,4,1:3,2,1,2,1:3,6-4:3,3:2,4:1,4,3:1,2,1,2:1,1,3,1,1:2,2,1,3:1,3,1:2,4,3:3,2,3,2:2,3,1:1,1,1,3:1,1,1:4,1,2:1,2,1,4,1:3,1,4:1,1,2,3:2,2,1,1,1:1,3,1:3,5
20x15	1722	3,2:2,5,4:2,14:2,6,4:2,5,3:2,5,1,1,3:2,5,1,3:2,3,2,5:2,3,6,2:2,5,2,2:2,3,3,5:2,4,6,3:2,12,2:2,1,7:2-2:10:13:5,1:1,2:12:12:12:6,1,1:7,1,2:2,2,4:1,1,1,4:1,1,1,4:1,1,2,3:2,3,3:7,1,2:7,1,1:12:3,6:2,2
20x15	Radish	5:4,1:1,1,1,1:2,1,2:4,1,2:8,1,3:4,3,2,2:4,8,1:1,7,3,2:1,6,4:1,5,1,1:1,5,1,2:9,3,1,1:1,1,1,1:2,7-2:6,1:3,1,1:3,1:5,1:3,1,3:2,6:2,6:8:7:4:3,1,4:3,1,2:1,3,1,1:2,1,1,1:2,1,2,1:1,1,1,1,1,1:1,1,2,3,2:1,2,1,2,1,1:4,3,3
20x15	1874	2:2,4:4,2,1:2,1,2:12:1,1,1,2:1,3,4,2:1,1,1,5:4,2,1,2,2:1,1,2,1,1,1:1,3,1,1,2,3,1:1,13:3,2,3,2:6,6:4,4-2:1,2:2,4,1,3:4,1,1,3:2,1,1,1,1,2:3,1,2,3:1,2,1,2:2,2,2,1:5,1,4:2,2,1,1:2,1,4,1:1,1,2:2,2:1,2,3:2,2,4:3,5:2,2,2:1,5:2,3:4
20x15	1884	7:1,6:2,2:7:5,1:5,1:3,1,4,2:5,1,6,1:2,5,7,2:1,4,9,1:1,16,1:17,2:19:1,2,1,1:11,1,3-5:2,4:2,3,1:2,4,1:7,1:6,1:5,1:1,3,1:1,3,1:1,4,1:2,1,5,1:1,4,8:1,11:2,10:2,12:2,10:2,1,6,1:7,2,1,1:2,3,4:4
20x15	2008	20:4,1,1,1,4:3,1,1,1,3:2,1,1,1,2:1,1,1:1,13,1:1,2,5,2,1,1:1,1,1,1,1,1,1,1,1:1,2,1,1,1,4,1:1,4,4,1:1,7,1:2,1,1,2:3,11,3:4,4:20-15:4,4:3,3:2,2:1,4,2,1:1,1,2,2,1,1:2,1,1,1,2,1,1:1,2,3,1,1:1,2,3,2,1,1:2,3,1,1,1,1:1,3,2,1,1:1,1,2,3,1,1:2,1,1,1,2,1,1:1,2,2,1,1:1,4,2,1:1,1,1,1:2,4,2:3,3:4,4:15
20x15	2246	1,1,4,4,2:1,2,1,3,2,2:1,1,1,2,2,1:3,2,2,3,1,1:2,1,2,3,2:1,4,2,5,1:1,2,2,3,2,1:2,2,4,1,2:1,1,1,5,3,1:2,2,3,3,1:1,2,3,1:2,1,4,3,1,1:5,1,5,3:1,3,3:1,1,4,6-6,3,1:1,2,3,2:3,2,1,1:2,2,2,2:3,1,1,1:2,1,2,2:1,3,1,2:1,2,2,3,1:1,2,1,5,1:3,2,3,2:2,1,4,2:1,2,1,1,5:1,1,2,5,1:1,2,1,1,4,1:3,1,2,1,1:2,1,1,1:2,1,2:1,1,2,3:2,1,4,2:6,2
20x15	Napoleon Bonaparte	4,1:3,1,1:3,1,1,5:3,1,1:3,3:3,4:3,7:2,3,2,1,1:6,1,4:4,2,2,1:1,3,2,2,1:1,2,6,2,3:3,3,1,4,1:1,5,1,1,3,1:1,3,1,3,1-2,3:3,2:2,1,1,2:5,2,1,1:6,3,1,2:5,4,3:1,9:1,1,1,3:1,1,2,1:1,4,1,1:1,1,1,2,1:2,3,1,1:1,2,1:1,1,5:1,2,2,4:1,1,1,1,3:2,1,1,3:1,2:2:4
20x15	Apple eater	3,3,4:6,2,1,3:3,1,1,1,3:1,2,3,2:3,2,1,2:2,3,1,1,1,2:1,3,1,4,1:1,3,1,1,1:7,2,3:2,5,3,1:1,4,1,2,2:1,3,1,1,1,1:2,2,2,2,1:4,2,5,1:1,1,1,1-1,1,2:2,5,2:3,2,3,1:3,1,3,1:2,8,2:3,7:2,4:1,2,2:1,2,2:3,3:2,2:4,3,2:1,1,3,2:2,1,3,1:1,1,5,2:1,1:1,2:3,2:7,1:6,6
20x15	2378	4,10:5,11:1,3,2,9:5,2,7:1,2,2,5:17:2,1,1,1:4,1,5,1:3,1,1,1,1,1:1,1,5,1:1,1,1,1,1,1:1,1,5,1,1:3,1,1,2:5,1,2:18-4,4,3:2,12:4,1,2,3:8,2:5,2:8,1:2,1:3,1:2,1,5,1:2,1,1,1,1,1:2,1,5,1:3,1,1,1,1,1:4,1,5,1:6,1:6,1:15:6,1:5,2:4,2:3,2
26x12	262	1,14:1,1,2,1,3:1,1,2,2,2,1:11,6,1:2,8,2,1,1,1:7,2,1,1,1:1,7,1:1,9:1,3,1,1,1,9:1,3,3:16:14-4:1,2:3:1,8:1,3,2:1,3,1,2:1,3,1,2:1,3,1,2:1,3,2:6,2:5,2:1,1,2:1,2:1,1,2:1,2:1,1,2:1,2:11:9:1,4:6:1,3:7:2,4:1,3:9
16x20	420	13:14:16:14,1:14,1:1:1:10:1:1:1:1:1:3:3:3:3:3:3:3-4:5:5:5:5:5,7:5,13:5,1,7:5,1:5,1:5,1:5,1:5,1:5,1:1,1:6
23x15	Bird	5:7:5,2:4,1,5:3,3,3:3,1,3,2:1,2,4:2,5,4:1,9:2,3,6:7,3:3,2,2:3,2,2,4:10,5:3,5,5-1,1,1:1,2,1:4,4:8,2:3,2,2,1:4,1,1,2:3,1,3:2,2,2,1:1,2,1,1,2:3,2,4:2,1,1,2,2:1,1,1,1,2:3,1,2,1:1,2,2,1:3,2,1,1:4,2:3,2:3,2:3,2:3,2:3,1:3,1:2,1
25x13	84	1:2:4:8:10:12:3,11,2:17,5:17,3:18:4,6:3,4:4-1:3:4:6:3,3:7:9:10:12:10:7,1:7:6:5:4:4:4:3:2:4:5:3,3:2,2:1,1:1,1
24x14	2366	2:2,1,1:1,1,1,2:1,2,1,2:1,1,1,1:1,2,2:1,1:2,2:1,1:19:1,4,1:1,1,1,1:2,2,2,2:6,6-5:1:2:3:3:3:4:1,2:1,1:1,1:1,1:1,1:1,2:4:2:2:4:5,1,2:1,1,1:2,1,1:2,1,1:3,1,1:3,1,2:6
26x14	Bat	6:10:4,1,3:2,1,3,1,2:1,3,4,2:2,3,1,5:3,4,2,2,2,2:2,3,3,3,1,1,1,1:7,3,1,5,1:8,7,2:6,4:15:4,5:4,4-2:4:1,2:4:3:3:2,3:4,2:2,2,3,1:1,3,4:5,2,4:2,2,1,4:2,1,1,1,2:2,1,2,1,1:4,3,1:2,1,1,1,1:2,1,1,1,2:2,3,1,2:1,2,3,3:2,2,2,3:1,4,3:2,2,1,2,1:3,1,2:4,1:1,2:3
17x20	184	9:4,3,2:4,3,1:5,4,1:6,5,2:2,8,5:1,6,4:1,6,4:1,6,4:2,6,4:1,6,4:15:3,4,1:3,3,1:9:7:5:1:3:3-6:3,3:3,2:5,3:15:12,3:2,7,3:1,7,3,2:20:17,2:6,6:1,2,2,2:2,2,2,1:1,7,1:1,8:9:6
23x15	1950	4:4:3,5:4,6:6,6:7,5:6,5:6,4:5,3,2:4,6,2:4,9:14:11:7:1-1:2:3,1:3,1:4,2:4,3:5,4:5,4:10:5,3:3,3:5:2,4:9:10:6,3:5,2:6,2:4,3:4,1,1:2,1:1,1:1
25x14	Boar	6:9:12:15:4,11,2:4,13,2:3,16,1:1,19:2,18:22:4,3,2,1,6:3,2,2,2:2,1,2,1:2,2,2,2-2:3:1,1:4,2:8:4,4,1:10,2:4,4,2:4,6:12:11:10:12,1:13:9:9,1:8,2:10:9:7:6:7,1:1,4:2:2
18x20	626	1,1,4:3,1,1,2:5,5:5,2,1:5,2,1:3,1,1:3:6:7:1,8:1,9:1,1,9:1,1,9:1,1,9:3,4,1,1:1,2,1,1:1,2,1,1,1:1,1,1,1:1,3,1,1,1:6,2,1,2,1-4,2:3,2,4,1:5,2,2:5,2,1,2:5,2,2:3,2,1:2,2:1,3,1,1:1,4,1:1,1,4:1,5:2,6,1:2,12:3,7,1:1,1,12,1:3,7,1:12,1:4
26x14	722	6:10:4,1,3:2,1,3,1,2:1,3,4,2:2,3,1,5:3,4,2,2,2,2:2,3,3,3,1,1,1,1:7,3,1,5,1:8,7,2:6,4:15:4,5:4,4-2:4:1,2:4:3:3:2,3:4,2:2,2,3,1:1,3,4:5,2,4:2,2,1,4:2,1,1,1,2:2,1,2,1,1:4,3,1:2,1,1,1,1:2,1,1,1,2:2,3,1,2:1,2,3,3:2,2,2,3:1,4,3:2,2,1,2,1:3,1,2:4,1:1,2:3
22x17	2234	4,4:13:5,8:4,2,1,4:2,1,1,2:2,1,1:2,2:3,5:4,2,2,2,1:2,2,1,7,1:1,5,1,8,1:2,17,1:19,2:11,9:10,8:9,5:6-3:1,7:3,2,4:3,1,6:3,2,7:3,10:3,2,8:3,2,1,7:2,1,1,7:2,1,1,5:3,5:2,2:4,5:3,1,7:3,2,8:4,2,7:3,9:2,9:2,1,7:1,1,2,2:1,3:4
25x15	530	4,4:2,3,3:2,1,2:1,1,1,1:2,2:6,7:5,11:3,3,7,1:2,7,4:2,6,3:3,9,1:14,4:22:20:17-4:7:8:3,4:2,4:2,4:1,5:6:7:7:8:2,9:2,9:2,2,1,5:1,4,5:1,3,4:2,3,3:3,3,3:2,3,3:1,3,3:2,3,3:3,1,1,3:3,3,3:2,2:3
25x15	972	4:4,8,1,1:1,13,1:1,1,13,2,1:1,5,10,3:6,12,1:19,1:1,17,1:1,1,7,4,3:5,5,4,1:6,4,5:7,5,3,1:16,2:18:13-1:2,1:1,1,3:1,2,5:2,4,5:5,7:6,6:7,5:8,4:3,4,3:3,9:14:14:14:8,4:6,3:6,3:2,12:1,10:1,8,1:1,8,1:3,3,1,2:2,2,2:1,1:7
25x15	1008	2:4:5,5:6,7:5,8:4,10:4,12:2,13:2,14:5,14:21:21,2:11,10:5,12:5,7,2-1:3:4,4:11:11:6,4:4,4,1:4,5:2,7:8:9:9:8:9,2:10,2:13:13:13:13:12:9:5,2:4:4:2
20x19	158	2,2:2,2,4:1,1,8:4,4,1:1,1,2,3,5:7,2,2,3:6,3,1,2,2:2,2,3,3,2,2:2,4,4,1:2,1,7,2,1:2,2,3,2,3:3,3,3,3:3,3,4,3:4,3,2:5,5:6,4:14:6,3:3-3:2,1,3,4:8,6:1,2,8:10,4:2,5,3,3:1,5,3:3,3,3:7,2,2:9,1,1,2:3,3,1,1,2:3,2,1,2,1,2:3,1,1,4,3:2,1,1,3,1,2,1:2,1,1,2,2,4:1,1,3,2,4:1,2,6,2:3,4:4,1:4
19x20	212	3:3,3:5,3:2,3,1,2:2,2,2,2,2:6,2,5,2:2,2,5,3:1,2,3,4:2,5:3,1,3:5,2:4,3,1,1:3,5,2,2:2,3,4,6:2,2,2,1,2,2:3,1,2,2,3:4,2,5:4,2,3:3,2:2-3:3,4:3,6:2,1,3,3:2,2,2,2,3:2,4,3,6:3,5,2,2:4,3,1:5,9:2,1,9:3,3:1,2,3,3:2,2,5,2:6,3,3,2:2,2,2,2,2:2,3,1,3:5,4:3,4:3
19x20	1514	2:3:3:4:3:4:5:10:2,8:5,8,3:5,10:2,11:6,10:6,10:1,11:6,9:5,9:1,2,8:6,4,3:4,2-3:9:4,2,4:1,2,2,2,2:1,2,2,2,2:3,1,2,2,2,2:9,1,2,3:15,2:14,1:15:13:12:11:10:9:8:10:1,1:1,1
21x19	624	2:3:3:3:3,3:2,5:3,5:8:3,3,4:17:6,11:3,13:9,4:8,3,2,1:6,7,2:13,2:4,6,2:5,3,4:3,10-3:5:6,2:2,5,2:8,3,3:5,4,6:5,4,7:3,3,8,1:3,7,2:3,7,2:3,5,1,2:2,5,3,1:4,4,1:4,4,1:4,6:4,5:10:6,1:2,1:4:2
20x20	72	3,1:6,1:7,2:1,5,4:5,4,1:5,7:6,6:6,4:6,4,2:6,8:6,7:6,7:7,8:7,6,3:13,6:12,6:18:6,8:4,10:9-3,8:3,10:3,12:4,13:18:18:7,6:5,3:3,5:7:7:11:3,7,4:14,5:11,6:10,6:1,3,8,2:3,3,4,2:1,2,3,2:1,1,1
20x20	74	4,4:6,6:8,8:20:20:6,4,6:5,2,5:4,4:4,4:4,4:5,5:5,5:5,5:5,5:5,5:10:8:6:4:2-8:10:12:14:7,5:6,5:5,5:4,5:4,5:4,5:4,5:4,5:4,5:5,5:6,5:7,5:14:12:10:8
20x20	86	8:1,10:1,4,4:1,3,3:3,3,3:3,3,4:1,1,11:5,9:2,2,3:2,2,2,3:2,2,3,4:3,3,11:7,9:20:2,3,2,3,3:2,1,1,2,1,2,3:2,1,1,1,2,1,2,3:2,1,1,1,2,3:2,3,1,2,1,2,3:20-11:14:2,2,3,1:5,1,3,4:2,2,5,2:9,4:5,1:7:3,2,2,1:6,3,1,2,2:7,4,2,2:3,3,4,1:2,2,9:2,2,4,1,1:2,2,3,2,2:2,2,3,2,2:3,3,4,1:20:19:10,7
20x20	152	4:3,2,2:6,1,4:3,3,3,2:3,2,7,1,1:2,17:2,1,3,7,2:2,1,3,1,4,1:2,5,3,2:9,3:8,2:1,6,2:2,5,3:2,6,1:2,11:2,6:4,1:6,1:12:12-4,2,3:6,2,4:3,1,7:3,3,6:2,2,3,1,4:2,10,3:2,10,2:14,2:3,8,2:2,1,7,2:6,4,2,2:2,8,6:1,8,1,2:1,1,4,2,1:3,3,1,1,1:2,2,2,1,1:2,1,2:2,2:1,4:4
20x20	232	2,2,2,3:1,3,1,1,3,1:2,3,1,1,3,2:2,1,3,2,3,1,2:3,1,2,2,2,1,3:3,4,4,3:7,2,7:1,2,6,2,1:4,4,4:1,2,1:1,1:3,1,2,1,3:3,1,4,1,3:3,1,6,1,3:2,2,6,2,2:1,3,4,2,1:3,3,2,4,2:6,6:3,3:1,1-4,3:1,5,7:2,4,3,3:1,1,2,1,3,1:2,1,3,2,4:2,4,1,5:5,1,1,2:1,5,1,1,2:3,1,2,1,4:2,4,6:2,4,6:3,1,2,1,4:1,5,1,1,2:5,1,1,2:2,4,1,5:2,1,3,2,1,2:1,1,2,1,3,2:2,4,3,2:1,5,7:5,3
20x20	314	19:1,1:1,16,1:1,1,1,1:1,1,1,1:1,1,1,3,1,2,1,1:1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1:1,1,1,3,1,2,1,1:1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1,1:1,1,1,1,1,1,1,1,1:1,1,1,3,1,2,1,1:1,1,1,1:1,1,1,1:1,16,1:1,1:20-19:1,1:1,16,1:1,1,1,1:1,1,10,1,1:1,1,1,1:1,1,10,1,1:1,1,1,1,1,1,1:1,1,10,1,1:1,1,1,1:1,1,1,1,1,1:1,1,1,1:1,1,10,1,1:1,1,1,1:1,1,1,5,1,1:1,1,6,1,1,1:1,1,1,1:1,16,1:1,1:20
20x20	392	4,1:6,2:3,3,3:3,2,3:2,2,4:1,2,3:1,2,3:2,5:3,5:3,6,1:3,8,1:13,2:14,4:19:18:17:17:16:14:12-3:6,6:4,8:2,10:2,11:3,12:9,9:7,10:10:11:5,13:19:18:16:13:6:6:5:4:5
20x20	440	3,1,3:1,1,1,1,1:2,1,2,3:1,1,2,2,1:6,3,4:1,3,2,2,2:1,1,4,1,1,2,1:1,2,2,1,1:3,1,2,1,2:4,2,1,3:2,2,1,1:3,2,3,2:3,8,3,1:4,2,1,1,2,2:3,1,3,2,1:1,1,4,4,1:1,2,2,1,1,1,1:1,3,1,1,4:2,2,1,1,6:1,2,2,7-1,2,1,1,1,1:3,1,2,2,3:1,2,1,2,3,2:1,2,2,2,1:1,1,16:1,2,2,3:1,2,2,3,2:4,3,2,1,1:1,1,1,2,1,1,2:1,2,1,2,1:2,1,4,2,2:1,2,1,1,1,1,1:2,1,2,1:2,2,1,2,2:1,2,1,3,2,3:1,1,1,1,3,2,2:2,2,1,4,3:2,2,5:4,3,2:2,5
20x20	Woodpecker	2,4:4,3:3,7:3,11:1,1,2,4,3:2,3,1,1,1,3:2,4,1,4:1,1,1,1,3,2:2,5,1:1,2,3,1:1,1,9:2,1,8:2,1,4,2:3,1,2,1,2:3,1,1,2,2:1,3,1,6:1,1,2,1,7:1,1,1,10:2,1,8:1,1,2-1,1,3:1,1,2,1,1,1,2:1,16:3,3,2:3,1,2:2,1,3,1:2,2,2,3:1,1,1,2,3,1:1,1,1,5,1:1,3,3,1,1:4,7,3:3,5,2,2:4,5,5:4,1,10:3,1,1,2,5:3,1,1,4:3,2,1,4:5,1,2:6,2:3,1
20x20	Fruit fly	2:3,1:2,1,2,1:10:2,1,9:4,2,3:5,3,1,1:1,4,2,1:5,2,2:2,3,1:3,3,1:1,3,2:1,1,8:1,1,2,1:1,2,1,1:1,1,3:1,1:2,1:2,2:4-2,1:3,2,1:2,2,3:13:2,1,3,4:4,3,2:6,3,2:3,2,2,1:4,2,1:2,3,2:3,1,3,1:1,1,7:1,2,2,1:1,1,1,1:2,3:2,1:1,1:1,2:2,1:3
20x20	538	1:2:3:1,1:2,1:1,6:10:9,3:17:19:1,18:1,17:1,11:1,13:1,6,4:2,5:2,4:3,2:4,1:6-10:1,5:5,3:8,2:10,1:12,1:15:3,11:2,10:14:9:9:9:2,4,1:6,2:5,1:5,1:4,1:4:3
